"filename", "language", "Python", "JavaScript", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"b:\ProjectVisual\Evades.io\CHANGELOG.md", "Markdown", 0, 0, 0, 119, 0, 0, 3, 122
"b:\ProjectVisual\Evades.io\css\menu.css", "PostCSS", 0, 0, 0, 0, 79, 1, 10, 90
"b:\ProjectVisual\Evades.io\css\style.css", "PostCSS", 0, 0, 0, 0, 624, 46, 75, 745
"b:\ProjectVisual\Evades.io\index.html", "HTML", 0, 0, 33, 0, 0, 2, 2, 37
"b:\ProjectVisual\Evades.io\js\Camera.js", "JavaScript", 0, 28, 0, 0, 0, 0, 7, 35
"b:\ProjectVisual\Evades.io\js\MiniMap.js", "JavaScript", 0, 55, 0, 0, 0, 0, 8, 63
"b:\ProjectVisual\Evades.io\js\Portal.js", "JavaScript", 0, 47, 0, 0, 0, 3, 9, 59
"b:\ProjectVisual\Evades.io\js\XPOrb.js", "JavaScript", 0, 46, 0, 0, 0, 0, 7, 53
"b:\ProjectVisual\Evades.io\js\admin.js", "JavaScript", 0, 253, 0, 0, 0, 6, 26, 285
"b:\ProjectVisual\Evades.io\js\arena\Arena.js", "JavaScript", 0, 339, 0, 0, 0, 1, 45, 385
"b:\ProjectVisual\Evades.io\js\arena\CentralCoreUniverse.js", "JavaScript", 0, 52, 0, 0, 0, 5, 5, 62
"b:\ProjectVisual\Evades.io\js\arena\HubArena.js", "JavaScript", 0, 179, 0, 0, 0, 5, 17, 201
"b:\ProjectVisual\Evades.io\js\arena\UniverseUniversal.js", "JavaScript", 0, 565, 0, 0, 0, 26, 46, 637
"b:\ProjectVisual\Evades.io\js\config.js", "JavaScript", 0, 86, 0, 0, 0, 0, 2, 88
"b:\ProjectVisual\Evades.io\js\enemies\Asteroids.js", "JavaScript", 0, 405, 0, 0, 0, 26, 47, 478
"b:\ProjectVisual\Evades.io\js\engine\GameEngine.js", "JavaScript", 0, 419, 0, 0, 0, 24, 72, 515
"b:\ProjectVisual\Evades.io\js\engine\InputManager.js", "JavaScript", 0, 108, 0, 0, 0, 4, 21, 133
"b:\ProjectVisual\Evades.io\js\engine\Renderer.js", "JavaScript", 0, 11, 0, 0, 0, 1, 2, 14
"b:\ProjectVisual\Evades.io\js\entities\Enemy.js", "JavaScript", 0, 87, 0, 0, 0, 11, 8, 106
"b:\ProjectVisual\Evades.io\js\entities\Player.js", "JavaScript", 0, 258, 0, 0, 0, 2, 38, 298
"b:\ProjectVisual\Evades.io\js\heroes\Frozen.js", "JavaScript", 0, 180, 0, 0, 0, 11, 24, 215
"b:\ProjectVisual\Evades.io\js\heroes\HeroFactory.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"b:\ProjectVisual\Evades.io\js\heroes\Mirage.js", "JavaScript", 0, 176, 0, 0, 0, 11, 30, 217
"b:\ProjectVisual\Evades.io\js\heroes\Pulsar.js", "JavaScript", 0, 244, 0, 0, 0, 9, 28, 281
"b:\ProjectVisual\Evades.io\js\language\en.js", "JavaScript", 0, 34, 0, 0, 0, 5, 4, 43
"b:\ProjectVisual\Evades.io\js\language\ru.js", "JavaScript", 0, 34, 0, 0, 0, 1, 4, 39
"b:\ProjectVisual\Evades.io\js\localization.js", "JavaScript", 0, 29, 0, 0, 0, 1, 6, 36
"b:\ProjectVisual\Evades.io\js\main.js", "JavaScript", 0, 153, 0, 0, 0, 13, 21, 187
"b:\ProjectVisual\Evades.io\js\ui\UIManager.js", "JavaScript", 0, 181, 0, 0, 0, 6, 29, 216
"b:\ProjectVisual\Evades.io\js\utils.js", "JavaScript", 0, 38, 0, 0, 0, 4, 7, 49
"b:\ProjectVisual\Evades.io\js\version.js", "JavaScript", 0, 167, 0, 0, 0, 3, 6, 176
"b:\ProjectVisual\Evades.io\merge.py", "Python", 11, 0, 0, 0, 0, 0, 0, 11
"b:\ProjectVisual\Evades.io\version.html", "HTML", 0, 0, 164, 0, 0, 0, 27, 191
"Total", "-", 11, 4191, 197, 119, 703, 227, 640, 6088
